Station_Code,X,Y,Z,sX,sY,sZ
ABMF,2919785.71395172,-5383745.04970614,1774604.71351058,0.00060051,0.00073035,0.00054309
ABPO,4097216.64180617,4429119.03811094,-2065771.32914593,0.00060766,0.0006292,0.00066418
ADE1,-3939182.44060453,3467075.34050399,-3613220.31994416,0.00067949,0.00062523,0.00073713
ADIS,4913652.76087218,3945922.66961673,995383.333106879,0.00063138,0.00064011,0.0005592
AJAC,4696989.37170473,723994.570707142,4239678.60527106,0.00060829,0.00058196,0.00054563
ALBH,-2341333.00536607,-3539049.5169844,4745791.29582132,0.00059696,0.00054853,0.00051758
ALGO,918129.295112336,-4346071.2855215,4561977.87207018,0.0005399,0.00060405,0.00052308
ALIC,-4052052.34524791,4212836.03421513,-2545105.12978627,0.00069159,0.0006471,0.00068492
ALRT,388042.587705553,-740382.41499186,6302001.91079891,0.00053739,0.00050691,0.00057033
AMC2,-1248596.26868936,-4819428.21052849,3976505.97135738,0.00057393,0.00060665,0.0005054
AOML,982296.673151836,-5664607.22205771,2752614.50580042,0.00055929,0.00069455,0.00052069
AREQ,1942826.41103549,-5804070.2651523,-1796894.09520735,0.00057772,0.00067741,0.00063725
AREV,1942826.41181335,-5804070.26793877,-1796894.09616872,0.00057935,0.00068407,0.0006384
ARTU,1843956.59682795,3016203.15712776,5291261.75334405,0.00056576,0.00058116,0.00054879
ASC1,6118526.04944937,-1572344.76462318,-876451.014485581,0.0006702,0.00056954,0.00062139
AUCK,-5105681.29952618,461564.018360264,-3782181.32777531,0.00071893,0.00058539,0.00074023
BADG,-838281.795219277,3865777.32273592,4987624.60634131,0.00059919,0.00059973,0.00057006
BAHR,3633908.63240775,4425275.58972015,2799861.62390871,0.00060673,0.00065375,0.00053293
BARH,1693644.76493473,-4239067.58040947,4439567.26224132,0.00053957,0.00060606,0.00052135
BHR1,3633908.63195581,4425275.58884059,2799861.62397261,0.00060529,0.0006518,0.00053186
BILI,-2321893.18150348,560096.826004557,5894691.75451508,0.00060336,0.00048282,0.00056317
BJCO,6333076.47991066,270973.553111641,704552.082326715,0.00066268,0.00057883,0.00057151
BJFS,-2148744.24687565,4426641.23605743,4044655.88540996,0.0006342,0.00060463,0.00053182
BJNM,-2154287.47791701,4373440.03939836,4098885.67629814,0.00065171,0.0006536,0.00058158
BOR1,3738358.3648579,1148173.78601499,5021815.81180766,0.00057501,0.00057072,0.00054632
BRAZ,4115014.08115095,-4550641.59223827,-1741443.89437458,0.00089376,0.00093182,0.00073099
BREW,-2112007.2214611,-3705351.8269213,4726827.10791366,0.00059019,0.00055514,0.0005169
BRFT,4985393.51456496,-3954993.43972725,-428426.640767034,0.00087899,0.00076709,0.00061916
